Dis_trict,jan_lowest_PM2.5,jan_highest_PM2.5,jan_average_PM2.5,jan_day_exceeding_month,feb_lowest_PM2.5,feb_highest_PM2.5,feb_average_PM2.5,feb_day_exceeding_month,mar_lowest_PM2.5,mar_highest_PM2.5,mar_average_PM2.5,mar_day_exceeding_month,apr_lowest_PM2.5,apr_highest_PM2.5,apr_average_PM2.5,apr_day_exceeding_month,may_lowest_PM2.5,may_highest_PM2.5,may_average_PM2.5,may_day_exceeding_month,jun_lowest_PM2.5,jun_highest_PM2.5,jun_average_PM2.5,jun_day_exceeding_month,jul_lowest_PM2.5,jul_highest_PM2.5,jul_average_PM2.5,jul_day_exceeding_month,aug_lowest_PM2.5,aug_highest_PM2.5,aug_average_PM2.5,aug_day_exceeding_month,sep_lowest_PM2.5,sep_highest_PM2.5,sep_average_PM2.5,sep_day_exceeding_month,oct_lowest_PM2.5,oct_highest_PM2.5,oct_average_PM2.5,oct_day_exceeding_month,nov_lowest_PM2.5,nov_highest_PM2.5,nov_average_PM2.5,nov_day_exceeding_month,dec_lowest_PM2.5,dec_highest_PM2.5,dec_average_PM2.5,dec_day_exceeding_month,ปี
อุทยานเบญจสิริ เขตคลองเตย,13.0,41.0,26.0,0.0,7.0,56.0,28.0,3.0,9.0,54.0,19.0,1.0,6.0,58.0,27.0,2.0,6.0,26.0,13.0,0.0,5.0,20.0,11.0,0.0,4.0,16.0,10.0,0.0,5.0,21.0,11.0,0.0,8.0,26.0,13.0,0.0,7.0,39.0,21.0,0.0,11.0,36.0,22.0,0.0,9.0,43.0,25.0,0.0,2565
สวนเบญจกิติ เขตคลองเตย,13.0,39.0,25.0,0.0,8.0,50.0,26.0,0.0,9.0,52.0,19.0,1.0,6.0,59.0,25.0,2.0,4.0,25.0,13.0,0.0,5.0,20.0,10.0,0.0,7.0,14.0,10.0,0.0,5.0,18.0,10.0,0.0,7.0,23.0,12.0,0.0,6.0,37.0,20.0,0.0,11.0,33.0,21.0,0.0,10.0,42.0,24.0,0.0,2565
สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,9.0,40.0,22.0,0.0,7.0,48.0,24.0,0.0,8.0,46.0,16.0,0.0,7.0,61.0,24.0,1.0,4.0,21.0,12.0,0.0,5.0,18.0,10.0,0.0,4.0,13.0,8.0,0.0,4.0,15.0,10.0,0.0,7.0,27.0,12.0,0.0,7.0,39.0,22.0,0.0,9.0,35.0,22.0,0.0,9.0,44.0,25.0,0.0,2565
สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,13.0,50.0,28.0,0.0,7.0,52.0,29.0,2.0,11.0,45.0,22.0,0.0,9.0,70.0,28.0,3.0,5.0,27.0,14.0,0.0,6.0,20.0,11.0,0.0,7.0,20.0,10.0,0.0,6.0,25.0,11.0,0.0,7.0,28.0,12.0,0.0,9.0,42.0,22.0,0.0,13.0,40.0,25.0,0.0,13.0,47.0,27.0,0.0,2565
สวนกีฬารามอินทรา เขตบางเขน,13.0,47.0,26.0,0.0,8.0,53.0,27.0,1.0,12.0,43.0,21.0,0.0,7.0,64.0,27.0,2.0,6.0,26.0,13.0,0.0,6.0,21.0,10.0,0.0,7.0,13.0,9.0,0.0,5.0,24.0,10.0,0.0,5.0,26.0,12.0,0.0,6.0,40.0,20.0,0.0,10.0,37.0,22.0,0.0,11.0,38.0,25.0,0.0,2565
สวนวชิรเบญจทัศ เขตจตุจักร,10.0,44.0,25.0,0.0,8.0,48.0,27.0,0.0,9.0,49.0,20.0,0.0,8.0,68.0,27.0,2.0,4.0,29.0,14.0,0.0,5.0,24.0,12.0,0.0,6.0,15.0,9.0,0.0,5.0,19.0,10.0,0.0,6.0,23.0,11.0,0.0,7.0,37.0,19.0,0.0,10.0,34.0,21.0,0.0,9.0,43.0,24.0,0.0,2565
สวนจตุจักร เขตจตุจักร,10.0,42.0,24.0,0.0,9.0,49.0,27.0,0.0,11.0,48.0,20.0,0.0,8.0,68.0,26.0,2.0,6.0,24.0,13.0,0.0,6.0,21.0,11.0,0.0,7.0,16.0,10.0,0.0,6.0,21.0,11.0,0.0,6.0,25.0,12.0,0.0,7.0,38.0,20.0,0.0,12.0,44.0,22.0,0.0,10.0,40.0,24.0,0.0,2565
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,10.0,41.0,24.0,0.0,6.0,48.0,27.0,0.0,9.0,49.0,19.0,0.0,8.0,70.0,26.0,2.0,5.0,24.0,13.0,0.0,6.0,22.0,10.0,0.0,6.0,15.0,9.0,0.0,6.0,22.0,10.0,0.0,7.0,23.0,11.0,0.0,7.0,38.0,19.0,0.0,10.0,38.0,21.0,0.0,10.0,42.0,24.0,0.0,2565
สวนหลวง ร.9 เขตประเวศ,13.0,39.0,26.0,0.0,7.0,52.0,29.0,2.0,10.0,58.0,18.0,1.0,5.0,62.0,25.0,2.0,5.0,25.0,13.0,0.0,6.0,17.0,11.0,0.0,5.0,13.0,9.0,0.0,5.0,16.0,10.0,0.0,7.0,22.0,12.0,0.0,6.0,38.0,19.0,0.0,9.0,32.0,20.0,0.0,9.0,42.0,24.0,0.0,2565
สวนเสรีไทย เขตบึงกุ่ม,19.0,50.0,34.0,0.0,8.0,53.0,27.0,1.0,17.0,59.0,26.0,1.0,12.0,75.0,32.0,3.0,10.0,31.0,19.0,0.0,11.0,28.0,17.0,0.0,12.0,19.0,15.0,0.0,10.0,25.0,15.0,0.0,12.0,34.0,17.0,0.0,11.0,44.0,25.0,0.0,10.0,39.0,22.0,0.0,15.0,44.0,29.0,0.0,2565
สวนหนองจอก เขตหนองจอก,16.0,49.0,30.0,0.0,8.0,48.0,27.0,0.0,12.0,54.0,25.0,1.0,7.0,71.0,28.0,2.0,6.0,27.0,13.0,0.0,6.0,19.0,12.0,0.0,6.0,14.0,10.0,0.0,6.0,24.0,11.0,0.0,8.0,30.0,13.0,0.0,6.0,38.0,20.0,0.0,15.0,38.0,25.0,0.0,10.0,42.0,25.0,0.0,2565
สวน 60 พรรษา สมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ เขตลาดกระบัง,14.0,42.0,28.0,0.0,9.0,49.0,27.0,0.0,10.0,59.0,21.0,1.0,7.0,72.0,28.0,2.0,6.0,25.0,13.0,0.0,7.0,19.0,12.0,0.0,7.0,14.0,11.0,0.0,6.0,23.0,12.0,0.0,8.0,30.0,13.0,0.0,7.0,38.0,19.0,0.0,8.0,32.0,20.0,0.0,16.0,44.0,31.0,0.0,2565
สวนพระนคร เขตลาดกระบัง,11.0,41.0,24.0,0.0,6.0,48.0,27.0,0.0,8.0,47.0,17.0,0.0,6.0,60.0,25.0,2.0,4.0,23.0,11.0,0.0,4.0,16.0,10.0,0.0,5.0,12.0,8.0,0.0,4.0,15.0,9.0,0.0,6.0,24.0,11.0,0.0,6.0,38.0,18.0,0.0,9.0,42.0,24.0,0.0,9.0,41.0,24.0,0.0,2565
สวนหลวงพระราม 8 เขตบางพลัด,13.0,44.0,25.0,0.0,8.0,52.0,27.0,1.0,9.0,45.0,19.0,0.0,9.0,80.0,28.0,3.0,6.0,24.0,15.0,0.0,8.0,22.0,12.0,0.0,8.0,20.0,11.0,0.0,7.0,21.0,12.0,0.0,8.0,25.0,14.0,0.0,9.0,41.0,23.0,0.0,11.0,39.0,24.0,0.0,11.0,44.0,28.0,0.0,2565
สวนทวีวนารมย์ เขตทวีวัฒนา,12.0,79.0,31.0,2.0,6.0,64.0,27.0,3.0,6.0,44.0,18.0,0.0,7.0,96.0,28.0,3.0,5.0,27.0,15.0,0.0,6.0,23.0,11.0,0.0,6.0,17.0,9.0,0.0,5.0,20.0,10.0,0.0,4.0,18.0,10.0,0.0,5.0,41.0,19.0,0.0,14.0,48.0,30.0,0.0,18.0,58.0,34.0,2.0,2565
สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว เขตบางกอกน้อย,7.0,39.0,22.0,0.0,6.0,50.0,24.0,0.0,6.0,40.0,15.0,0.0,7.0,83.0,25.0,1.0,3.0,24.0,11.0,0.0,4.0,18.0,8.0,0.0,5.0,20.0,8.0,0.0,4.0,19.0,8.0,0.0,5.0,20.0,9.0,0.0,5.0,37.0,18.0,0.0,8.0,33.0,20.0,0.0,6.0,38.0,22.0,0.0,2565
สวนบางแคภิรมย์ เขตบางแค,9.0,55.0,29.0,2.0,6.0,61.0,26.0,3.0,6.0,43.0,17.0,0.0,8.0,95.0,28.0,3.0,5.0,26.0,15.0,0.0,7.0,23.0,12.0,0.0,5.0,16.0,10.0,0.0,6.0,20.0,12.0,0.0,8.0,21.0,12.0,0.0,8.0,41.0,22.0,0.0,10.0,40.0,25.0,0.0,11.0,52.0,29.0,1.0,2565
สวนธนบุรีรมย์ เขตทุ่งครุ,12.0,50.0,27.0,0.0,8.0,58.0,29.0,2.0,6.0,53.0,18.0,1.0,9.0,76.0,29.0,3.0,6.0,28.0,15.0,0.0,7.0,21.0,12.0,0.0,6.0,16.0,11.0,0.0,7.0,18.0,12.0,0.0,7.0,22.0,13.0,0.0,6.0,42.0,23.0,0.0,9.0,37.0,24.0,0.0,12.0,55.0,30.0,2.0,2565
สวนลุมพินี เขตปทุมวัน,11.0,57.0,24.0,1.0,9.0,81.0,29.0,2.0,8.0,68.0,29.0,3.0,13.0,49.0,29.0,0.0,9.0,26.0,16.0,0.0,5.0,17.0,8.0,0.0,4.1,12.7,7.9,0.0,5.7,13.4,9.1,0.0,4.0,16.1,8.2,0.0,6.2,32.7,14.7,0.0,6.4,33.1,17.9,0.0,7.5,38.4,21.5,1.0,2566
อุทยานเบญจสิริ เขตคลองเตย,14.0,66.0,29.0,2.0,12.0,96.0,35.0,5.0,12.0,78.0,35.0,7.0,15.0,55.0,35.0,4.0,13.0,32.0,22.0,0.0,9.0,23.0,13.0,0.0,5.6,17.7,12.0,0.0,9.8,20.6,13.9,0.0,6.0,21.8,12.1,0.0,8.3,39.5,19.0,1.0,12.2,42.1,24.8,4.0,10.9,47.0,26.5,2.0,2566
สวนเบญจกิติ เขตคลองเตย,15.0,63.0,28.0,1.0,10.0,93.0,33.0,5.0,11.0,75.0,34.0,5.0,15.0,54.0,34.0,2.0,14.0,31.0,20.0,0.0,6.0,19.0,11.0,0.0,5.7,15.6,10.2,0.0,8.8,16.2,12.3,0.0,5.7,21.7,11.3,0.0,7.9,39.2,17.6,1.0,9.2,36.0,20.8,0.0,9.9,47.9,25.1,2.0,2566
สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,14.0,65.0,28.0,1.0,9.0,82.0,31.0,3.0,9.0,73.0,30.0,3.0,12.0,50.0,30.0,0.0,9.0,33.0,18.0,0.0,6.0,17.0,9.0,0.0,5.4,16.7,10.2,0.0,6.9,16.6,12.0,0.0,4.8,19.7,10.7,0.0,6.1,35.7,17.8,0.0,10.4,35.6,21.1,0.0,10.2,52.6,25.2,2.0,2566
สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,14.0,66.0,32.0,4.0,13.0,90.0,38.0,6.0,12.0,86.0,40.0,11.0,19.0,53.0,35.0,1.0,11.0,26.0,19.0,0.0,7.0,18.0,12.0,0.0,5.8,19.1,10.8,0.0,9.3,16.5,13.2,0.0,6.4,18.7,11.9,0.0,9.6,35.2,19.7,0.0,12.9,43.8,25.9,5.0,13.1,50.2,30.8,10.0,2566
สวนกีฬารามอินทรา เขตบางเขน,12.0,58.0,30.0,1.0,14.0,87.0,36.0,4.0,13.0,83.0,38.0,9.0,17.0,53.0,34.0,2.0,17.0,35.0,26.0,0.0,7.0,19.0,12.0,0.0,5.4,17.0,10.9,0.0,10.2,17.9,13.6,0.0,6.9,22.7,12.7,0.0,9.5,37.0,19.1,0.0,14.2,36.5,23.8,0.0,9.2,46.4,25.6,3.0,2566
สวนวชิรเบญจทัศ เขตจตุจักร,14.0,61.0,29.0,1.0,12.0,79.0,34.0,5.0,12.0,76.0,35.0,8.0,18.0,54.0,35.0,3.0,15.0,31.0,23.0,0.0,7.0,20.0,12.0,0.0,5.8,16.3,11.1,0.0,10.0,21.2,13.2,0.0,6.4,18.6,11.6,0.0,9.4,35.4,18.3,0.0,10.4,40.2,21.8,2.0,10.4,43.6,26.6,4.0,2566
สวนจตุจักร เขตจตุจักร,15.0,59.0,28.0,1.0,14.0,74.0,33.0,5.0,14.0,74.0,35.0,8.0,16.0,53.0,34.0,2.0,16.0,35.0,26.0,0.0,7.0,20.0,12.0,0.0,6.3,17.6,11.2,0.0,9.5,16.7,12.3,0.0,5.9,19.4,11.3,0.0,9.9,34.7,18.1,0.0,9.7,37.5,21.0,0.0,10.0,44.4,25.5,1.0,2566
สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,15.0,59.0,28.0,1.0,12.0,78.0,34.0,5.0,12.0,67.0,34.0,6.0,17.0,55.0,35.0,4.0,10.0,26.0,20.0,0.0,7.0,21.0,11.0,0.0,5.0,15.9,10.1,0.0,9.2,15.5,12.1,0.0,5.6,19.0,9.8,0.0,6.4,34.0,16.4,0.0,9.4,39.0,20.7,2.0,8.1,46.8,25.5,2.0,2566
สวนหลวง ร.9 เขตประเวศ,14.0,60.0,29.0,1.0,11.0,91.0,33.0,4.0,10.0,73.0,33.0,5.0,14.0,51.0,31.0,1.0,11.0,26.0,19.0,0.0,6.0,20.0,10.0,0.0,6.1,17.8,10.6,0.0,7.1,25.2,11.7,0.0,5.9,24.5,11.5,0.0,8.5,39.0,17.2,1.0,9.0,37.4,19.4,0.0,10.1,51.0,24.0,1.0,2566
สวนเสรีไทย เขตบึงกุ่ม,19.0,61.0,36.0,4.0,17.0,94.0,40.0,6.0,19.0,84.0,40.0,10.0,20.0,57.0,38.0,5.0,17.0,35.0,26.0,0.0,10.0,24.0,16.0,0.0,9.6,22.1,14.8,0.0,15.0,24.1,18.0,0.0,11.5,25.7,17.3,0.0,14.5,44.4,22.9,2.0,15.2,46.7,26.8,3.0,16.4,54.2,31.8,8.0,2566
สวนหนองจอก เขตหนองจอก,15.0,60.0,33.0,3.0,14.0,103.0,40.0,7.0,14.0,91.0,39.0,10.0,18.0,57.0,37.0,4.0,15.0,31.0,23.0,0.0,9.0,22.0,13.0,0.0,7.6,18.3,12.4,0.0,11.3,18.8,15.5,0.0,6.1,22.4,12.0,0.0,7.8,34.0,16.6,0.0,9.4,47.9,21.2,1.0,11.6,49.8,27.9,7.0,2566
